port,service,description
4148,PowerAlert-nsa,PowerAlert Network Shutdown Agent
4149,menandmice_noh,Men & Mice Remote Control
4150,idig_mux,iDigTech Multiplex
4151,mbl-battd,MBL Remote Battery Monitoring
4152,atlinks,atlinks device discovery
4153,bzr,Bazaar version control system
4154,stat-results,STAT Results
4155,stat-scanner,STAT Scanner Control
4156,stat-cc,STAT Command Center
4157,nss,Network Security Service
4158,jini-discovery,Jini Discovery
4159,omscontact,OMS Contact
4160,omstopology,OMS Topology
4161,silverpeakpeer,Silver Peak Peer Protocol
4162,silverpeakcomm,Silver Peak Communication Protocol
4163,altcp,ArcLink over Ethernet
4164,joost,Joost Peer to Peer Protocol
4165,ddgn,DeskDirect Global Network
4166,pslicser,PrintSoft License Server
4167,iadt-disc,Internet ADT Discovery Protocol
4168,,Reserved
4169,,Reserved
4170,pcoip,PC over IP
4171,mma-discovery,MMA Device Discovery
4172,sm-disc,StorMagic Discovery
4173,,Reserved
4174,,Reserved
4175,wello,Wello P2P pubsub service
4176,storman,StorMan
4177,MaxumSP,Maxum Services
4178,httpx,HTTPX
4179,macbak,MacBak
4180,pcptcpservice,Production Company Pro TCP Service
4181,cyborgnet,CyborgNet communications protocol
4182,universe_suite,UNIVERSE SUITE MESSAGE SERVICE
4183,wcpp,Woven Control Plane Protocol
4184,,Reserved
4185,,Reserved
4186,vatata,Vatata Peer to Peer Protocol
4187,,Reserved
4188,,Reserved
4189,dsmipv6,Dual Stack MIPv6 NAT Traversal
4190,azeti-bd,azeti blinddate
4191,,Reserved
4192,hctl,Harman HControl Protocol
4193,eims-admin,EIMS ADMIN
4197,vrml-multi-use,VRML Multi User Systems
4199,vrml-multi-use,VRML Multi User Systems
4200,vrml-multi-use,VRML Multi User Systems
4201,vrml-multi-use,VRML Multi User Systems
4202,vrml-multi-use,VRML Multi User Systems
4203,vrml-multi-use,VRML Multi User Systems
4204,vrml-multi-use,VRML Multi User Systems
4205,vrml-multi-use,VRML Multi User Systems
4206,vrml-multi-use,VRML Multi User Systems
4207,vrml-multi-use,VRML Multi User Systems
4208,vrml-multi-use,VRML Multi User Systems
4209,vrml-multi-use,VRML Multi User Systems
4210,vrml-multi-use,VRML Multi User Systems
4211,vrml-multi-use,VRML Multi User Systems
4212,vrml-multi-use,VRML Multi User Systems
4213,vrml-multi-use,VRML Multi User Systems
4214,vrml-multi-use,VRML Multi User Systems
4215,vrml-multi-use,VRML Multi User Systems
4216,vrml-multi-use,VRML Multi User Systems
4217,vrml-multi-use,VRML Multi User Systems
4218,vrml-multi-use,VRML Multi User Systems
4219,vrml-multi-use,VRML Multi User Systems
4220,vrml-multi-use,VRML Multi User Systems
4221,vrml-multi-use,VRML Multi User Systems
4222,vrml-multi-use,VRML Multi User Systems
4223,vrml-multi-use,VRML Multi User Systems
4224,vrml-multi-use,VRML Multi User Systems
4225,vrml-multi-use,VRML Multi User Systems
4226,vrml-multi-use,VRML Multi User Systems
4227,vrml-multi-use,VRML Multi User Systems
4228,vrml-multi-use,VRML Multi User Systems
4229,vrml-multi-use,VRML Multi User Systems
4230,vrml-multi-use,VRML Multi User Systems
4231,vrml-multi-use,VRML Multi User Systems
4232,vrml-multi-use,VRML Multi User Systems
4233,vrml-multi-use,VRML Multi User Systems
4234,vrml-multi-use,VRML Multi User Systems
4235,vrml-multi-use,VRML Multi User Systems
4236,vrml-multi-use,VRML Multi User Systems
4237,vrml-multi-use,VRML Multi User Systems
4238,vrml-multi-use,VRML Multi User Systems
4239,vrml-multi-use,VRML Multi User Systems
4240,vrml-multi-use,VRML Multi User Systems
4241,vrml-multi-use,VRML Multi User Systems
4242,vrml-multi-use,VRML Multi User Systems
4243,vrml-multi-use,VRML Multi User Systems
4244,vrml-multi-use,VRML Multi User Systems
4245,vrml-multi-use,VRML Multi User Systems
4246,vrml-multi-use,VRML Multi User Systems
4247,vrml-multi-use,VRML Multi User Systems
4248,vrml-multi-use,VRML Multi User Systems
4249,vrml-multi-use,VRML Multi User Systems
4250,vrml-multi-use,VRML Multi User Systems
4251,vrml-multi-use,VRML Multi User Systems
4252,vrml-multi-use,VRML Multi User Systems
4253,vrml-multi-use,VRML Multi User Systems
4254,vrml-multi-use,VRML Multi User Systems
4255,vrml-multi-use,VRML Multi User Systems
4256,vrml-multi-use,VRML Multi User Systems
4257,vrml-multi-use,VRML Multi User Systems
4258,vrml-multi-use,VRML Multi User Systems
4259,vrml-multi-use,VRML Multi User Systems
4260,vrml-multi-use,VRML Multi User Systems
4261,vrml-multi-use,VRML Multi User Systems
4262,vrml-multi-use,VRML Multi User Systems
4263,vrml-multi-use,VRML Multi User Systems
4264,vrml-multi-use,VRML Multi User Systems
4265,vrml-multi-use,VRML Multi User Systems
4266,vrml-multi-use,VRML Multi User Systems
4267,vrml-multi-use,VRML Multi User Systems
4268,vrml-multi-use,VRML Multi User Systems
4269,vrml-multi-use,VRML Multi User Systems
4270,vrml-multi-use,VRML Multi User Systems
4271,vrml-multi-use,VRML Multi User Systems
4272,vrml-multi-use,VRML Multi User Systems
4273,vrml-multi-use,VRML Multi User Systems
4274,vrml-multi-use,VRML Multi User Systems
4275,vrml-multi-use,VRML Multi User Systems
4276,vrml-multi-use,VRML Multi User Systems
4277,vrml-multi-use,VRML Multi User Systems
4278,vrml-multi-use,VRML Multi User Systems
4279,vrml-multi-use,VRML Multi User Systems
4280,vrml-multi-use,VRML Multi User Systems
4281,vrml-multi-use,VRML Multi User Systems
4282,vrml-multi-use,VRML Multi User Systems
4283,vrml-multi-use,VRML Multi User Systems
4284,vrml-multi-use,VRML Multi User Systems
4285,vrml-multi-use,VRML Multi User Systems
4286,vrml-multi-use,VRML Multi User Systems
4287,vrml-multi-use,VRML Multi User Systems
4288,vrml-multi-use,VRML Multi User Systems
4289,vrml-multi-use,VRML Multi User Systems
4290,vrml-multi-use,VRML Multi User Systems
4291,vrml-multi-use,VRML Multi User Systems
4292,vrml-multi-use,VRML Multi User Systems
4293,vrml-multi-use,VRML Multi User Systems
4294,vrml-multi-use,VRML Multi User Systems
4295,vrml-multi-use,VRML Multi User Systems
4296,vrml-multi-use,VRML Multi User Systems
4297,vrml-multi-use,VRML Multi User Systems
4298,corelccam,Corel CCam
4299,d-data,Diagnostic Data
4300,d-data-control,Diagnostic Data Control
4301,srcp,Simple Railroad Command Protocol
4302,owserver,One-Wire Filesystem Server
4303,batman,better approach to mobile ad-hoc networking
4304,pinghgl,Hellgate London
4305,trueconf,TrueConf Videoconference Service
4306,compx-lockview,CompX-LockView
4307,dserver,Exsequi Appliance Discovery
4308,mirrtex,Mir-RT exchange service
4309,,Reserved
4310,,Reserved
4311,,Reserved
4312,,Reserved
4313,,Reserved
4314,fdt-rcatp,FDT Remote Categorization Protocol
4316,rwhois,Remote Who Is
4320,trim-event,TRIM Event Service
4321,trim-ice,TRIM ICE Service
4322,,Reserved
4323,geognosisman,Cadcorp GeognoSIS Manager Service
4324,geognosis,Cadcorp GeognoSIS Service
4325,jaxer-web,Jaxer Web Protocol
4326,jaxer-manager,Jaxer Manager Command Protocol
4327,,Reserved
4328,,Reserved
4329,,Reserved
4330,ahsp,ArrowHead Service Protocol (AHSP)
4331,,Reserved
4333,,Reserved
4334,,Reserved
4335,gaia,Gaia Connector Protocol
4336,lisp-data,LISP Data Packets
4340,lisp-control,LISP Control Packets
4341,unicall,UNICALL
4342,vinainstall,VinaInstall
4343,m4-network-as,Macro 4 Network AS
4344,elanlm,ELAN LM
4345,lansurveyor,LAN Surveyor
4346,itose,ITOSE
4347,fsportmap,File System Port Map
4348,net-device,Net Device
4349,plcy-net-svcs,PLCY Net Services
4350,pjlink,Projector Link
4351,f5-iquery,F5 iQuery
4352,qsnet-trans,QSNet Transmitter
4353,qsnet-workst,QSNet Workstation
4354,qsnet-assist,QSNet Assistant
