port,service,description
1870,canocentral1,Cano Central 1
1871,fjmpjps,Fjmpjps
1872,fjswapsnp,Fjswapsnp
1873,westell-stats,westell stats
1874,ewcappsrv,ewcappsrv
1875,hp-webqosdb,hp-webqosdb
1876,drmsmc,drmsmc
1877,nettgain-nms,NettGain NMS
1878,vsat-control,Gilat VSAT Control
1879,ibm-mqseries2,IBM WebSphere MQ Everyplace
1880,ecsqdmn,CA eTrust Common Services
1881,mqtt,Message Queuing Telemetry Transport Protocol
1882,idmaps,Internet Distance Map Svc
1883,vrtstrapserver,Veritas Trap Server
1884,leoip,Leonardo over IP
1885,filex-lport,FileX Listening Port
1886,ncconfig,NC Config Port
1887,unify-adapter,Unify Web Adapter Service
1888,wilkenlistener,wilkenListener
1889,childkey-notif,ChildKey Notification
1890,childkey-ctrl,ChildKey Control
1891,elad,ELAD Protocol
1892,o2server-port,O2Server Port
1893,b-novative-ls,b-novative license server
1894,metaagent,MetaAgent
1896,cymtec-port,Cymtec secure management
1897,mc2studios,MC2Studios
1898,ssdp,SSDP
1899,fjicl-tep-a,Fujitsu ICL Terminal Emulator Program A
1900,fjicl-tep-b,Fujitsu ICL Terminal Emulator Program B
1901,linkname,Local Link Name Resolution
1902,fjicl-tep-c,Fujitsu ICL Terminal Emulator Program C
1903,sugp,Secure UP.Link Gateway Protocol
1904,tpmd,TPortMapperReq
1905,intrastar,IntraSTAR
1906,dawn,Dawn
1907,global-wlink,Global World Link
1908,ultrabac,UltraBac Software communications port
1909,mtp,Starlight Networks Multimedia Transport Protocol
1910,rhp-iibp,rhp-iibp
1911,armadp,armadp
1912,elm-momentum,Elm-Momentum
1913,facelink,FACELINK
1914,persona,Persoft Persona
1915,noagent,nOAgent
1916,can-nds,IBM Tivole Directory Service - NDS
1917,can-dch,IBM Tivoli Directory Service - DCH
1918,can-ferret,IBM Tivoli Directory Service - FERRET
1919,noadmin,NoAdmin
1920,tapestry,Tapestry
1921,spice,SPICE
1922,xiip,XIIP
1923,discovery-port,Surrogate Discovery Port
1924,egs,Evolution Game Server
1925,videte-cipc,Videte CIPC Port
1926,emsd-port,Expnd Maui Srvr Dscovr
1927,bandwiz-system,Bandwiz System - Server
1928,driveappserver,Drive AppServer
1929,amdsched,AMD SCHED
1930,ctt-broker,CTT Broker
1931,xmapi,IBM LM MT Agent
1932,xaapi,IBM LM Appl Agent
1933,macromedia-fcs,Macromedia Flash Communications server MX
1934,jetcmeserver,JetCmeServer Server Port
1935,jwserver,JetVWay Server Port
1936,jwclient,JetVWay Client Port
1937,jvserver,JetVision Server Port
1938,jvclient,JetVision Client Port
1939,dic-aida,DIC-Aida
1940,res,Real Enterprise Service
1941,beeyond-media,Beeyond Media
1942,close-combat,close-combat
1943,dialogic-elmd,dialogic-elmd
1944,tekpls,tekpls
1945,sentinelsrm,SentinelSRM
1946,eye2eye,eye2eye
1947,ismaeasdaqlive,ISMA Easdaq Live
1948,ismaeasdaqtest,ISMA Easdaq Test
1949,bcs-lmserver,bcs-lmserver
1950,mpnjsc,mpnjsc
1951,rapidbase,Rapid Base
1952,abr-api,ABR-API (diskbridge)
1953,abr-secure,ABR-Secure Data (diskbridge)
1954,vrtl-vmf-ds,Vertel VMF DS
1955,unix-status,unix-status
1956,dxadmind,CA Administration Daemon
1957,simp-all,SIMP Channel
1958,nasmanager,Merit DAC NASmanager
1959,bts-appserver,BTS APPSERVER
1960,biap-mp,BIAP-MP
1961,webmachine,WebMachine
1962,solid-e-engine,SOLID E ENGINE
1963,tivoli-npm,Tivoli NPM
1964,slush,Slush
1965,sns-quote,SNS Quote
1966,lipsinc,LIPSinc
1967,lipsinc1,LIPSinc 1
1968,netop-rc,NetOp Remote Control
1969,netop-school,NetOp School
1970,intersys-cache,Cache
1971,dlsrap,Data Link Switching Remote Access Protocol
1972,drp,DRP
1973,tcoflashagent,TCO Flash Agent
1974,tcoregagent,TCO Reg Agent
1975,tcoaddressbook,TCO Address Book
1976,unisql,UniSQL
1977,unisql-java,UniSQL Java
1978,pearldoc-xact,PearlDoc XACT
1979,p2pq,p2pQ
1980,estamp,Evidentiary Timestamp
1981,lhtp,Loophole Test Protocol
1982,bb,BB
1983,hsrp,Hot Standby Router Protocol
1984,licensedaemon,cisco license management
1985,tr-rsrb-p1,cisco RSRB Priority 1 port
1986,tr-rsrb-p2,cisco RSRB Priority 2 port
1987,mshnet,MHSnet system
1988,stun-p1,cisco STUN Priority 1 port
1989,stun-p2,cisco STUN Priority 2 port
1990,ipsendmsg,IPsendmsg
1991,snmp-tcp-port,cisco SNMP TCP port
1992,stun-port,cisco serial tunnel port
1993,perf-port,cisco perf port
1994,tr-rsrb-port,cisco Remote SRB port
1995,gdp-port,cisco Gateway Discovery Protocol
1996,x25-svc-port,cisco X.25 service (XOT)
1997,tcp-id-port,cisco identification port
1998,cisco-sccp,Cisco SCCp
1999,wizard,curry
2000,globe,
2001,brutus,Brutus Server
2002,emce,CCWS mm conf
2003,oracle,
2004,raid-cd,raid
2005,raid-am,
2006,terminaldb,
2007,whosockami,
2008,pipe_server,
2009,servserv,
2010,raid-ac,
2011,raid-cd,
2012,raid-sf,
2013,raid-cs,
2014,bootserver,
2015,bootclient,
2016,rellpack,
2017,about,
2018,xinupageserver,
2019,xinuexpansion1,
2020,xinuexpansion2,
2021,xinuexpansion3,
2022,xinuexpansion4,
2023,xribs,
2024,scrabble,
2025,shadowserver,
2026,submitserver,
2027,hsrpv6,Hot Standby Router Protocol IPv6
2028,device2,
2029,mobrien-chat,mobrien-chat
2030,blackboard,
2031,glogger,
2032,scoremgr,
2033,imsldoc,
2034,e-dpnet,Ethernet WS DP network
2035,applus,APplus Application Server
2036,objectmanager,
2037,prizma,Prizma Monitoring Service
2038,lam,
2039,interbase,
2040,isis,isis
2041,isis-bcast,isis-bcast
2042,rimsl,
2043,cdfunc,
2044,sdfunc,
2045,dls,
2046,dls-monitor,
2047,nfs,Network File System
2048,av-emb-config,Avaya EMB Config Port
2049,epnsdp,EPNSDP
2050,clearvisn,clearVisn Services Port
2051,lot105-ds-upd,Lot105 DSuper Updates
2052,weblogin,Weblogin Port
2053,iop,Iliad-Odyssey Protocol
2054,omnisky,OmniSky Port
2055,rich-cp,Rich Content Protocol
2056,newwavesearch,NewWaveSearchables RMI
2057,bmc-messaging,BMC Messaging Service
2058,teleniumdaemon,Telenium Daemon IF
2059,netmount,NetMount
2060,icg-swp,ICG SWP Port
2061,icg-bridge,ICG Bridge Port
2062,icg-iprelay,ICG IP Relay Port
2063,dlsrpn,Data Link Switch Read Port Number
2064,aura,AVM USB Remote Architecture
2065,dlswpn,Data Link Switch Write Port Number
2066,avauthsrvprtcl,Avocent AuthSrv Protocol
2067,event-port,HTTP Event Port
2068,ah-esp-encap,AH and ESP Encapsulated in UDP packet
2069,acp-port,Axon Control Protocol
2070,msync,GlobeCast mSync
2071,gxs-data-port,DataReel Database Socket
2072,vrtl-vmf-sa,Vertel VMF SA
2073,newlixengine,Newlix ServerWare Engine
2074,newlixconfig,Newlix JSPConfig
2075,tsrmagt,Old Tivoli Storage Manager
2076,tpcsrvr,IBM Total Productivity Center Server
2077,idware-router,IDWARE Router Port
2078,autodesk-nlm,Autodesk NLM (FLEXlm)
2079,kme-trap-port,KME PRINTER TRAP PORT
2080,infowave,Infowave Mobility Server
2081,radsec,Secure Radius Service
2082,sunclustergeo,SunCluster Geographic
2083,ada-cip,ADA Control
2084,gnunet,GNUnet
2085,eli,ELI - Event Logging Integration
2086,ip-blf,IP Busy Lamp Field
2087,sep,Security Encapsulation Protocol - SEP
2088,lrp,Load Report Protocol
2089,prp,PRP
2090,descent3,Descent 3
2091,nbx-cc,NBX CC
2092,nbx-au,NBX AU
2093,nbx-ser,NBX SER
2094,nbx-dir,NBX DIR
2095,jetformpreview,Jet Form Preview
2096,dialog-port,Dialog Port
2097,h2250-annex-g,H.225.0 Annex G Signalling
2098,amiganetfs,Amiga Network Filesystem
2099,rtcm-sc104,rtcm-sc104
2100,zephyr-srv,Zephyr server
2101,zephyr-clt,Zephyr serv-hm connection
2102,zephyr-hm,Zephyr hostmanager
2103,minipay,MiniPay
2104,mzap,MZAP
2105,bintec-admin,BinTec Admin
2106,comcam,Comcam
2107,ergolight,Ergolight
2108,umsp,UMSP
2109,dsatp,OPNET Dynamic Sampling Agent Transaction Protocol
2110,idonix-metanet,Idonix MetaNet
2111,hsl-storm,HSL StoRM
2112,ariascribe,Classical Music Meta-Data Access and Enhancement
2113,kdm,Key Distribution Manager
2114,ccowcmr,CCOWCMR
2115,mentaclient,MENTACLIENT
2116,mentaserver,MENTASERVER
2117,gsigatekeeper,GSIGATEKEEPER
2118,qencp,Quick Eagle Networks CP
2119,scientia-ssdb,SCIENTIA-SSDB
2120,caupc-remote,CauPC Remote Control
2121,gtp-control,GTP-Control Plane (3GPP)
2122,elatelink,ELATELINK
2123,lockstep,LOCKSTEP
2124,pktcable-cops,PktCable-COPS
2125,index-pc-wb,INDEX-PC-WB
2126,net-steward,Net Steward Control
2127,cs-live,cs-live.com
2128,xds,XDS
2129,avantageb2b,Avantageb2b
2130,solera-epmap,SoleraTec End Point Map
2131,zymed-zpp,ZYMED-ZPP
2132,avenue,AVENUE
2133,gris,Grid Resource Information Server
2134,appworxsrv,APPWORXSRV
2135,connect,CONNECT
2136,unbind-cluster,UNBIND-CLUSTER
2137,ias-auth,IAS-AUTH
2138,ias-reg,IAS-REG
2139,ias-admind,IAS-ADMIND
2140,tdmoip,TDM OVER IP
2141,lv-jc,Live Vault Job Control
2142,lv-ffx,Live Vault Fast Object Transfer
2143,lv-pici,Live Vault Remote Diagnostic Console Support
2144,lv-not,Live Vault Admin Event Notification
2145,lv-auth,Live Vault Authentication
2146,veritas-ucl,VERITAS UNIVERSAL COMMUNICATION LAYER
2147,acptsys,ACPTSYS
2148,dynamic3d,DYNAMIC3D
2149,docent,DOCENT
2150,gtp-user,GTP-User Plane (3GPP)
2151,ctlptc,Control Protocol
2152,stdptc,Standard Protocol
2153,brdptc,Bridge Protocol
2154,trp,Talari Reliable Protocol
2155,xnds,Xerox Network Document Scan Protocol
2156,touchnetplus,TouchNetPlus Service
2157,gdbremote,GDB Remote Debug Port
2158,apc-2160,APC 2160
2159,apc-2161,APC 2161
2160,navisphere,Navisphere
2161,navisphere-sec,Navisphere Secure
2162,ddns-v3,Dynamic DNS Version 3
2163,x-bone-api,X-Bone API
2164,iwserver,iwserver
2165,raw-serial,Raw Async Serial Link
2166,easy-soft-mux,easy-soft Multiplexer
2167,brain,Backbone for Academic Information Notification (BRAIN)
2168,eyetv,EyeTV Server Port
2169,msfw-storage,MS Firewall Storage
2170,msfw-s-storage,MS Firewall SecureStorage
2171,msfw-replica,MS Firewall Replication
2172,msfw-array,MS Firewall Intra Array
2173,airsync,Microsoft Desktop AirSync Protocol
2174,rapi,Microsoft ActiveSync Remote API
2175,qwave,qWAVE Bandwidth Estimate
2176,bitspeer,Peer Services for BITS
2177,vmrdp,Microsoft RDP for virtual machines
2178,mc-gt-srv,Millicent Vendor Gateway Server
2179,eforward,eforward
2180,cgn-stat,CGN status
2181,cgn-config,Code Green configuration
2182,nvd,NVD User
2183,onbase-dds,OnBase Distributed Disk Services
2184,gtaua,Guy-Tek Automated Update Applications
2185,ssmd,Sepehr System Management Data
2186,,Reserved
2187,,Reserved
2188,tivoconnect,TiVoConnect Beacon
2189,tvbus,TvBus Messaging
2190,asdis,ASDIS software management
2191,drwcs,Dr.Web Enterprise Management Service
2192,mnp-exchange,MNP data exchange
2193,onehome-remote,OneHome Remote Access
2197,onehome-help,OneHome Service Port
2198,ici,ICI
2199,ats,Advanced Training System Program
2200,imtc-map,Int. Multimedia Teleconferencing Cosortium
2201,b2-runtime,b2 Runtime Protocol
2202,b2-license,b2 License Server
2203,jps,Java Presentation Server
2204,hpocbus,HP OpenCall bus
2205,hpssd,HP Status and Services
2206,hpiod,HP I/O Backend
2207,rimf-ps,HP RIM for Files Portal Service
2208,noaaport,NOAAPORT Broadcast Network
2209,emwin,EMWIN
2210,leecoposserver,LeeCO POS Server Service
2211,kali,Kali
2212,rpi,RDQ Protocol Interface
2213,ipcore,IPCore.co.za GPRS
2214,vtu-comms,VTU data service
2215,gotodevice,GoToDevice Device Management
2216,bounzza,Bounzza IRC Proxy
2217,netiq-ncap,NetIQ NCAP Protocol
2218,netiq,NetIQ End2End
2219,ethernet-ip-s,EtherNet/IP over DTLS
2220,EtherNet/IP-1,EtherNet/IP I/O
2221,rockwell-csp2,Rockwell CSP2
2222,efi-mg,Easy Flexible Internet/Multiplayer Games
2223,rcip-itu,Resource Connection Initiation Protocol
2224,di-drm,Digital Instinct DRM
2225,di-msg,DI Messaging Service
2226,ehome-ms,eHome Message Server
2227,datalens,DataLens Service
2228,queueadm,MetaSoft Job Queue Administration Service
2229,wimaxasncp,WiMAX ASN Control Plane Protocol
2230,ivs-video,IVS Video default
2231,infocrypt,INFOCRYPT
2232,directplay,DirectPlay
2233,sercomm-wlink,Sercomm-WLink
2234,nani,Nani
2235,optech-port1-lm,Optech Port1 License Manager
2236,aviva-sna,AVIVA SNA SERVER
2237,imagequery,Image Query
2238,recipe,RECIPe
2239,ivsd,IVS Daemon
2240,foliocorp,Folio Remote Server
2241,magicom,Magicom Protocol
2242,nmsserver,NMS Server
2243,hao,HaO
2244,pc-mta-addrmap,PacketCable MTA Addr Map
2245,antidotemgrsvr,Antidote Deployment Manager Service
2246,ums,User Management Service
2247,rfmp,RISO File Manager Protocol
2248,remote-collab,remote-collab
2249,dif-port,Distributed Framework Port
2250,njenet-ssl,NJENET using SSL
2251,dtv-chan-req,DTV Channel Request
2252,seispoc,Seismic P.O.C. Port
2253,vrtp,VRTP - ViRtue Transfer Protocol
2254,pcc-mfp,PCC MFP
2255,simple-tx-rx,simple text/file transfer
2256,rcts,Rotorcraft Communications Test System
2257,apc-2260,APC 2260
2258,comotionmaster,CoMotion Master Server
2260,comotionback,CoMotion Backup Server
2261,ecwcfg,ECweb Configuration Service
2262,apx500api-1,Audio Precision Apx500 API Port 1
2263,apx500api-2,Audio Precision Apx500 API Port 2
2264,mfserver,M-files Server
2265,ontobroker,OntoBroker
2266,amt,AMT
2267,mikey,MIKEY
2268,starschool,starSchool
2269,mmcals,Secure Meeting Maker Scheduling
2270,mmcal,Meeting Maker Scheduling
2271,mysql-im,MySQL Instance Manager
2272,pcttunnell,PCTTunneller
2273,ibridge-data,iBridge Conferencing
2274,ibridge-mgmt,iBridge Management
2275,bluectrlproxy,Bt device control proxy
2276,s3db,Simple Stacked Sequences Database
2277,xmquery,xmquery
2278,lnvpoller,LNVPOLLER
2279,lnvconsole,LNVCONSOLE
2280,lnvalarm,LNVALARM
2281,lnvstatus,LNVSTATUS
2282,lnvmaps,LNVMAPS
2283,lnvmailmon,LNVMAILMON
2284,nas-metering,NAS-Metering
2285,dna,DNA
2286,netml,NETML
2287,dict-lookup,Lookup dict server
2288,sonus-logging,Sonus Logging Services
2289,eapsp,EPSON Advanced Printer Share Protocol
2290,mib-streaming,Sonus Element Management Services
2291,npdbgmngr,Network Platform Debug Manager
2292,konshus-lm,Konshus License Manager (FLEX)
2293,advant-lm,Advant License Manager
2294,theta-lm,Theta License Manager (Rainbow)
2295,d2k-datamover1,D2K DataMover 1
2296,d2k-datamover2,D2K DataMover 2
2297,pc-telecommute,PC Telecommute
2298,cvmmon,CVMMON
2299,cpq-wbem,Compaq HTTP
2300,binderysupport,Bindery Support
2301,proxy-gateway,Proxy Gateway
2302,attachmate-uts,Attachmate UTS
2303,mt-scaleserver,MT ScaleServer
2304,tappi-boxnet,TAPPI BoxNet
2305,pehelp,pehelp
2306,sdhelp,sdhelp
2307,sdserver,SD Server
2308,sdclient,SD Client
2309,messageservice,Message Service
2310,wanscaler,WANScaler Communication Service
2311,iapp,IAPP (Inter Access Point Protocol)
2312,cr-websystems,CR WebSystems
2313,precise-sft,Precise Sft.
2314,sent-lm,SENT License Manager
2315,attachmate-g32,Attachmate G32
2316,cadencecontrol,Cadence Control
2317,infolibria,InfoLibria
2318,siebel-ns,Siebel NS
2319,rdlap,RDLAP
2320,ofsd,ofsd
2321,3d-nfsd,3d-nfsd
2322,cosmocall,Cosmocall
2323,ansysli,ANSYS Licensing Interconnect
2324,idcp,IDCP
2325,xingcsm,xingcsm
2326,netrix-sftm,Netrix SFTM
2327,nvd,NVD
2328,tscchat,TSCCHAT
2329,agentview,AGENTVIEW
2330,rcc-host,RCC Host
2331,snapp,SNAPP
2332,ace-client,ACE Client Auth
2333,ace-proxy,ACE Proxy
2334,appleugcontrol,Apple UG Control
2335,ideesrv,ideesrv
2336,norton-lambert,Norton Lambert
2337,3com-webview,3Com WebView
2338,wrs_registry,WRS Registry
2339,xiostatus,XIO Status
2340,manage-exec,Seagate Manage Exec
2341,nati-logos,nati logos
2342,fcmsys,fcmsys
2343,dbm,dbm
2344,redstorm_join,Game Connection Port
2345,redstorm_find,Game Announcement and Location
2346,redstorm_info,Information to query for game status
2347,redstorm_diag,Diagnostics Port
2348,psbserver,Pharos Booking Server
2349,psrserver,psrserver
2350,pslserver,pslserver
2351,pspserver,pspserver
2352,psprserver,psprserver
2353,psdbserver,psdbserver
2354,gxtelmd,GXT License Managemant
2355,unihub-server,UniHub Server
2356,futrix,Futrix
2357,flukeserver,FlukeServer
2358,nexstorindltd,NexstorIndLtd
2359,tl1,TL1
2360,digiman,digiman
2361,mediacntrlnfsd,Media Central NFSD
2362,oi-2000,OI-2000
2363,dbref,dbref
2364,qip-login,qip-login
2365,service-ctrl,Service Control
2366,opentable,OpenTable
2367,l3-hbmon,L3-HBMon
2368,,Reserved
2370,lanmessenger,LanMessenger
2371,,Reserved
2372,,Reserved
2373,,Reserved
2374,docker-s,Docker REST API (ssl)
2375,,Reserved
2376,,Reserved
2377,,Reserved
2379,compaq-https,Compaq HTTPS
2380,ms-olap3,Microsoft OLAP
2381,ms-olap4,Microsoft OLAP
2382,sd-capacity,SD-CAPACITY
2383,sd-data,SD-DATA
2384,virtualtape,Virtual Tape
2385,vsamredirector,VSAM Redirector
2386,mynahautostart,MYNAH AutoStart
2387,ovsessionmgr,OpenView Session Mgr
2388,rsmtp,RSMTP
2389,3com-net-mgmt,3COM Net Management
2390,tacticalauth,Tactical Auth
2391,ms-olap1,MS OLAP 1
2392,ms-olap2,MS OLAP 2
2393,lan900_remote,LAN900 Remote
2394,wusage,Wusage
2395,ncl,NCL
2396,orbiter,Orbiter
2397,fmpro-fdal,"FileMaker, Inc. - Data Access Layer"
2398,opequus-server,OpEquus Server
2399,cvspserver,cvspserver
2400,taskmaster2000,TaskMaster 2000 Server
2401,taskmaster2000,TaskMaster 2000 Web
2402,iec-104,IEC 60870-5-104 process control over IP
2403,trc-netpoll,TRC Netpoll
2404,jediserver,JediServer
2405,orion,Orion
2406,,Reserved
2407,sns-protocol,SNS Protocol
2408,vrts-registry,VRTS Registry
2409,netwave-ap-mgmt,Netwave AP Management
2410,cdn,CDN
2411,orion-rmi-reg,orion-rmi-reg
2412,beeyond,Beeyond
2413,codima-rtp,Codima Remote Transaction Protocol
2414,rmtserver,RMT Server
2415,composit-server,Composit Server
2416,cas,cas
2417,attachmate-s2s,Attachmate S2S
2418,dslremote-mgmt,DSL Remote Management
2419,g-talk,G-Talk
2420,crmsbits,CRMSBITS
2421,rnrp,RNRP
2422,kofax-svr,KOFAX-SVR
2423,fjitsuappmgr,Fujitsu App Manager
2424,vcmp,VeloCloud MultiPath Protocol
2425,mgcp-gateway,Media Gateway Control Protocol Gateway
2426,ott,One Way Trip Time
2427,ft-role,FT-ROLE
2428,venus,venus
2429,venus-se,venus-se
2430,codasrv,codasrv
2431,codasrv-se,codasrv-se
2432,pxc-epmap,pxc-epmap
2433,optilogic,OptiLogic
2434,topx,TOP/X
2435,unicontrol,UniControl
2436,msp,MSP
2437,sybasedbsynch,SybaseDBSynch
2438,spearway,Spearway Lockers
2439,pvsw-inet,Pervasive I*net Data Server
2440,netangel,Netangel
2441,powerclientcsf,PowerClient Central Storage Facility
2442,btpp2sectrans,BT PP2 Sectrans
2443,dtn1,DTN1
2444,bues_service,bues_service
2445,ovwdb,OpenView NNM daemon
2446,hpppssvr,hpppsvr
2447,ratl,RATL
2448,netadmin,netadmin
2449,netchat,netchat
2450,snifferclient,SnifferClient
2451,madge-ltd,madge ltd
2452,indx-dds,IndX-DDS
2453,wago-io-system,WAGO-IO-SYSTEM
2454,altav-remmgt,altav-remmgt
2455,rapido-ip,Rapido_IP
2456,griffin,griffin
2457,community,Community
2458,ms-theater,ms-theater
2459,qadmifoper,qadmifoper
2460,qadmifevent,qadmifevent
2461,lsi-raid-mgmt,LSI RAID Management
2462,direcpc-si,DirecPC SI
2463,lbm,Load Balance Management
2464,lbf,Load Balance Forwarding
2465,high-criteria,High Criteria
2466,qip-msgd,qip_msgd
2467,mti-tcs-comm,MTI-TCS-COMM
2468,taskman-port,taskman port
2469,seaodbc,SeaODBC
2470,c3,C3
2471,aker-cdp,Aker-cdp
2472,vitalanalysis,Vital Analysis
2473,ace-server,ACE Server
2474,ace-svr-prop,ACE Server Propagation
2475,ssm-cvs,SecurSight Certificate Valifation Service
2476,ssm-cssps,SecurSight Authentication Server (SSL)
2477,ssm-els,SecurSight Event Logging Server (SSL)
2478,powerexchange,Informatica PowerExchange Listener
2479,giop,Oracle GIOP
2480,giop-ssl,Oracle GIOP SSL
2481,ttc,Oracle TTC
2482,ttc-ssl,Oracle TTC SSL
2483,netobjects1,Net Objects1
2484,netobjects2,Net Objects2
2485,pns,Policy Notice Service
2486,moy-corp,Moy Corporation
2487,tsilb,TSILB
2488,qip-qdhcp,qip_qdhcp
2489,conclave-cpp,Conclave CPP
2490,groove,GROOVE
2491,talarian-mqs,Talarian MQS
2492,bmc-ar,BMC AR
2493,fast-rem-serv,Fast Remote Services
2494,dirgis,DIRGIS
2495,quaddb,Quad DB
2496,odn-castraq,ODN-CasTraq
2497,unicontrol,UniControl
2498,rtsserv,Resource Tracking system server
2499,rtsclient,Resource Tracking system client
2500,kentrox-prot,Kentrox Protocol
2501,nms-dpnss,NMS-DPNSS
2502,wlbs,WLBS
2503,ppcontrol,PowerPlay Control
2504,jbroker,jbroker
2505,spock,spock
2506,jdatastore,JDataStore
2507,fjmpss,fjmpss
2508,fjappmgrbulk,fjappmgrbulk
2509,metastorm,Metastorm
2510,citrixima,Citrix IMA
2511,citrixadmin,Citrix ADMIN
2512,facsys-ntp,Facsys NTP
2513,facsys-router,Facsys Router
2514,maincontrol,Main Control
2515,call-sig-trans,H.323 Annex E Call Control Signalling Transport
2516,willy,Willy
2517,globmsgsvc,globmsgsvc
2518,pvsw,Pervasive Listener
2519,adaptecmgr,Adaptec Manager
2520,windb,WinDb
2521,qke-llc-v3,Qke LLC V.3
2522,optiwave-lm,Optiwave License Management
2523,ms-v-worlds,MS V-Worlds
2524,ema-sent-lm,EMA License Manager
2525,iqserver,IQ Server
2526,ncr_ccl,NCR CCL
2527,utsftp,UTS FTP
2528,vrcommerce,VR Commerce
2529,ito-e-gui,ITO-E GUI
2530,ovtopmd,OVTOPMD
2531,snifferserver,SnifferServer
2532,combox-web-acc,Combox Web Access
2533,madcap,MADCAP
2534,btpp2audctr1,btpp2audctr1
2535,upgrade,Upgrade Protocol
2536,vnwk-prapi,vnwk-prapi
2537,vsiadmin,VSI Admin
2538,lonworks,LonWorks
2539,lonworks2,LonWorks2
2540,udrawgraph,uDraw(Graph)
2541,reftek,REFTEK
2542,novell-zen,Management Daemon Refresh
2543,sis-emt,sis-emt
2544,vytalvaultbrtp,vytalvaultbrtp
2545,vytalvaultvsmp,vytalvaultvsmp
2546,vytalvaultpipe,vytalvaultpipe
2547,ipass,IPASS
2548,ads,ADS
2549,isg-uda-server,ISG UDA Server
2550,call-logging,Call Logging
2551,efidiningport,efidiningport
2552,vcnet-link-v10,VCnet-Link v10
2553,compaq-wcp,Compaq WCP
2554,nicetec-nmsvc,nicetec-nmsvc
2555,nicetec-mgmt,nicetec-mgmt
2556,pclemultimedia,PCLE Multi Media
2557,lstp,LSTP
2558,labrat,labrat
2559,mosaixcc,MosaixCC
2560,delibo,Delibo
2561,cti-redwood,CTI Redwood
2562,hp-3000-telnet,HP 3000 NS/VT block mode telnet
2563,coord-svr,Coordinator Server
2564,pcs-pcw,pcs-pcw
2565,clp,Cisco Line Protocol
2566,spamtrap,SPAM TRAP
2567,sonuscallsig,Sonus Call Signal
2568,hs-port,HS Port
2569,cecsvc,CECSVC
2570,ibp,IBP
2571,trustestablish,Trust Establish
2572,blockade-bpsp,Blockade BPSP
2573,hl7,HL7
2574,tclprodebugger,TCL Pro Debugger
2575,scipticslsrvr,Scriptics Lsrvr
2576,rvs-isdn-dcp,RVS ISDN DCP
2577,mpfoncl,mpfoncl
2578,tributary,Tributary
2579,argis-te,ARGIS TE
2580,argis-ds,ARGIS DS
2581,mon,MON
2582,cyaserv,cyaserv
2583,netx-server,NETX Server
2584,netx-agent,NETX Agent
2585,masc,MASC
2586,privilege,Privilege
2587,quartus-tcl,quartus tcl
2588,idotdist,idotdist
2589,maytagshuffle,Maytag Shuffle
2590,netrek,netrek
2591,mns-mail,MNS Mail Notice Service
2592,dts,Data Base Server
2593,worldfusion1,World Fusion 1
2594,worldfusion2,World Fusion 2
2595,homesteadglory,Homestead Glory
2596,citriximaclient,Citrix MA Client
2597,snapd,Snap Discovery
2598,hpstgmgr,HPSTGMGR
2599,discp-client,discp client
2600,discp-server,discp server
2601,servicemeter,Service Meter
2602,nsc-ccs,NSC CCS
2603,nsc-posa,NSC POSA
2604,netmon,Dell Netmon
2605,connection,Dell Connection
2606,wag-service,Wag Service
2607,system-monitor,System Monitor
2608,versa-tek,VersaTek
2609,lionhead,LIONHEAD
2610,qpasa-agent,Qpasa Agent
2611,smntubootstrap,SMNTUBootstrap
2612,neveroffline,Never Offline
2613,firepower,firepower
2614,appswitch-emp,appswitch-emp
2615,cmadmin,Clinical Context Managers
2616,priority-e-com,Priority E-Com
2617,bruce,bruce
2618,lpsrecommender,LPSRecommender
2619,miles-apart,Miles Apart Jukebox Server
2620,metricadbc,MetricaDBC
2621,lmdp,LMDP
2622,aria,Aria
2623,blwnkl-port,Blwnkl Port
2624,gbjd816,gbjd816
2625,moshebeeri,Moshe Beeri
2626,dict,DICT
2627,sitaraserver,Sitara Server
2628,sitaramgmt,Sitara Management
2629,sitaradir,Sitara Dir
2630,irdg-post,IRdg Post
2631,interintelli,InterIntelli
2632,pk-electronics,PK Electronics
2633,backburner,Back Burner
2634,solve,Solve
2635,imdocsvc,Import Document Service
2636,sybaseanywhere,Sybase Anywhere
2637,aminet,AMInet
2638,ami-control,Alcorn McBride Inc protocol used for device control
2639,hdl-srv,HDL Server
2640,tragic,Tragic
2641,gte-samp,GTE-SAMP
2642,travsoft-ipx-t,Travsoft IPX Tunnel
2643,novell-ipx-cmd,Novell IPX CMD
2644,and-lm,AND License Manager
2645,syncserver,SyncServer
2646,upsnotifyprot,Upsnotifyprot
2647,vpsipport,VPSIPPORT
2648,eristwoguns,eristwoguns
2649,ebinsite,EBInSite
2650,interpathpanel,InterPathPanel
2651,sonus,Sonus
2652,corel_vncadmin,Corel VNC Admin
2653,unglue,UNIX Nt Glue
2654,kana,Kana
2655,sns-dispatcher,SNS Dispatcher
2656,sns-admin,SNS Admin
2657,sns-query,SNS Query
2658,gcmonitor,GC Monitor
2659,olhost,OLHOST
2660,bintec-capi,BinTec-CAPI
2661,bintec-tapi,BinTec-TAPI
2662,patrol-mq-gm,Patrol for MQ GM
2663,patrol-mq-nm,Patrol for MQ NM
2664,extensis,extensis
2665,alarm-clock-s,Alarm Clock Server
2666,alarm-clock-c,Alarm Clock Client
2667,toad,TOAD
