protocol,port,service,description
TCP,392,synotics-broker,SynOptics Port Broker Port
TCP,393,meta5,Data Interpretation System
TCP,394,embl-ndt,EMBL Nucleic Data Transfer
TCP,395,netcp,NETscout Control Protocol
TCP,396,netware-ip,Novell Netware over IP
TCP,397,mptn,Multi Protocol Trans. Net.
TCP,398,kryptolan,Kryptolan
TCP,399,iso-tsap-c2,ISO Transport Class 2 Non-Control over TCP
TCP,400,osb-sd,Workstation Solutions
TCP,401,ups,Uninterruptible Power Supply
TCP,402,genie,Genie Protocol
TCP,403,decap,decap
TCP,404,nced,nced
TCP,405,ncld,ncld
TCP,406,imsp,Interactive Mail Support Protocol
TCP,407,timbuktu,Timbuktu
TCP,408,prm-sm,Prospero Resource Manager Sys. Man.
TCP,409,prm-nm,Prospero Resource Manager Node Man.
TCP,410,decladebug,DECLadebug Remote Debug Protocol
TCP,411,rmt,Remote MT Protocol
TCP,412,synoptics-trap,NeoModus Direct Connect (Windows file sharing program) / Trap Convention Port
TCP,413,smsp,SMSP
TCP,414,infoseek,InfoSeek
TCP,415,bnet,BNet
TCP,416,silverplatter,Silverplatter
TCP,417,onmux,Onmux
TCP,418,hyper-g,Hyper-G
TCP,419,ariel1,Ariel
TCP,420,smpte,SMPTE
TCP,421,ariel2,Ariel
TCP,422,ariel3,Ariel
TCP,423,opc-job-start,IBM Operations Planning and Control Start
TCP,424,opc-job-track,IBM Operations Planning and Control Track
TCP,425,icad-el,ICAD
TCP,426,smartsdp,smartsdp
TCP,427,svrloc,Server Location
TCP,428,ocs_cmu,OCS_CMU
TCP,429,ocs_amu,OCS_AMU
TCP,430,utmpsd,UTMPSD
TCP,431,utmpcd,UTMPCD
TCP,432,iasd,IASD
TCP,433,nnsp,NNSP
TCP,434,mobileip-agent,MobileIP-Agent
TCP,435,mobilip-mn,MobilIP-MN
TCP,436,dna-cml,DNA-CML
TCP,437,comscm,comscm
TCP,438,dsfgw,dsfgw
TCP,439,dasp,dasp
TCP,440,sgcp,sgcp
TCP,441,decvms-sysmgt,decvms-sysmgt
TCP,442,cvc_hostd,cvc_hostd
TCP,443,https,HTTP protocol over TLS/SSL
TCP,444,snpp,Simple Network Paging Protocol
TCP,445,microsoft-ds,Microsoft-DS
TCP,446,ddm-rdb,DDM-RDB
TCP,447,ddm-dfm,DDM-RFM
TCP,448,ddm-ssl,DDM-SSL
TCP,449,as-servermap,AS Server Mapper
TCP,450,tserver,TServer
TCP,451,sfs-smp-net,Cray Network Semaphore server
TCP,452,sfs-config,Cray SFS config server
TCP,453,creativeserver,CreativeServer
TCP,454,contentserver,ContentServer
TCP,455,creativepartnr,CreativePartnr
TCP,456,macon-udp,macon-tcp
TCP,457,scohelp,scohelp
TCP,458,appleqtc,apple quick time
TCP,459,ampr-rcmd,ampr-rcmd
TCP,460,skronk,skronk
TCP,461,datasurfsrv,DataRampSrv
TCP,462,datasurfsrvsec,DataRampSrvSec
TCP,463,alpes,alpes
TCP,464,kpasswd,kpasswd
TCP,465,igmpv3lite,SMTPS
TCP,466,digital-vrc,digital-vrc
TCP,467,mylex-mapd,mylex-mapd
TCP,468,photuris,proturis
TCP,469,rcp,Radio Control Protocol
TCP,470,scx-proxy,scx-proxy
TCP,471,mondex,Mondex
TCP,472,ljk-login,ljk-login
TCP,473,hybrid-pop,hybrid-pop
TCP,474,tn-tl-w2,tn-tl-w1
TCP,475,tcpnethaspsrv,tcpnethaspsrv
TCP,476,tn-tl-fd1,tn-tl-fd1
TCP,477,ss7ns,ss7ns
TCP,478,spsc,spsc
TCP,479,iafserver,iafserver
TCP,480,iafdbase,iafdbase
TCP,481,ph,Ph service
TCP,482,bgs-nsi,bgs-nsi
TCP,483,ulpnet,ulpnet
TCP,484,integra-sme,Integra Software Management Environment
TCP,485,powerburst,Air Soft Power Burst
TCP,486,avian,avian
TCP,487,saft,saft Simple Asynchronous File Transfer
TCP,488,gss-http,gss-HTTP
TCP,489,nest-protocol,nest-protocol
TCP,490,micom-pfs,micom-pfs
TCP,491,go-login,go-login
TCP,492,ticf-1,Transport Independent Convergence for FNA
TCP,493,ticf-2,Transport Independent Convergence for FNA
TCP,494,pov-ray,POV-Ray
TCP,495,intecourier,intecourier
TCP,496,pim-rp-disc,PIM-RP-DISC
TCP,497,retrospect,dantz
TCP,498,siam,siam
TCP,499,iso-ill,ISO ILL Protocol
TCP,500,isakmp,ISAKMP
TCP,501,stmf,STMF
TCP,502,mbap,asa-appl-proto
TCP,503,intrinsa,Intrinsa
TCP,504,citadel,citadel
TCP,505,mailbox-lm,mailbox-lm
TCP,506,ohimsrv,ohimsrv
TCP,507,crs,crs
TCP,508,xvttp,xvttp
TCP,509,snare,snare
TCP,510,fcp,FirstClass Protocol
TCP,511,passgo,PassGo
TCP,512,biff,Remote process execution
TCP,513,who,Remote Login
TCP,514,syslog,Remote Shell
TCP,515,printer,spooler
TCP,516,videotex,videotex
TCP,517,talk,like tenex link but across
TCP,518,ntalk,talkd
TCP,519,utime,unixtime
TCP,520,router,extended file name server
TCP,521,ripng,ripng
TCP,522,ulp,User Location Service / ULP
TCP,523,ibm-db2,IBM-DB2
TCP,524,ncp,NCP
TCP,525,timed,timeserver
TCP,526,tempo,newdate
TCP,527,stx,Stock IXChange
TCP,528,custix,Customer IXChange
TCP,529,irc-serv,IRC-SERV
TCP,530,courier,rpc
TCP,531,conference,chat
TCP,532,netnews,readnews
TCP,533,netwall,for emergency broadcasts
TCP,534,windream,MegaMedia Admin
TCP,535,iiop,iiop
TCP,536,opalis-rdv,opalis-rdv
TCP,537,nmsp,Networked Media Streaming Protocol
TCP,538,gdomap,gdomap
TCP,539,apertus-ldp,Apertus Technologies Load Determination
TCP,540,uucp,uucpd
TCP,541,uucp-rlogin,uucp-rlogin
TCP,542,commerce,commerce
TCP,543,klogin,kerberos (v4/v5)
TCP,544,kshell,krcmd
TCP,545,appleqtcsrvr,appleqtcsrvr
TCP,546,dhcpv6-client,DHCPv6 Client
TCP,547,dhcpv6-server,DHCPv6 Server
TCP,548,afpovertcp,AppleShare AFP over TCP
TCP,549,idfp,IDFP
TCP,550,new-rwho,new-who
TCP,551,cybercash,cybercash
TCP,552,devshr-nts,deviceshare
TCP,553,pirp,pirp
TCP,554,rtsp,Real Time Stream Control Protocol
TCP,555,dsf,"phAse Zero backdoor (Win 9x, NT) / dsf"
TCP,556,remotefs,rfs server
TCP,557,openvms-sysipc,openvms-sysipc
TCP,558,sdnskmp,SDNSKMP
TCP,559,teedtap,TEEDTAP / Backdoor.Domwis Win32 trojan
TCP,560,rmonitor,rmonitord
TCP,561,monitor,monitor
TCP,562,chshell,chcmd
TCP,563,nntps,AOL IM / NNTP protocol over TLS/SSL
TCP,564,9pfs,plan 9 file service
TCP,565,whoami,whoami
TCP,566,streettalk,streettalk
TCP,567,banyan-rpc,banyan-rpc
TCP,568,ms-shuttle,microsoft shuttle
TCP,569,ms-rome,microsoft rome
TCP,570,meter,demon
TCP,571,meter,udemon
TCP,572,sonar,sonar
TCP,573,banyan-vip,banyan-vip
TCP,574,ftp-agent,FTP Software Agent System
TCP,575,vemmi,VEMMI
TCP,576,ipcd,ipcd
TCP,577,vnas,vnas
TCP,578,ipdd,ipdd
TCP,579,decbsrv,decbsrv
TCP,580,sntp-heartbeat,SNTP HEARTBEAT
TCP,581,bdp,Bundle Discovery Protocol
TCP,582,scc-security,SCC Security
TCP,583,philips-vc,Philips Video-Conferencing
TCP,584,keyserver,Key Server
TCP,585,,IMAP4+SSL
TCP,586,password-chg,Password Change
TCP,587,submission,Message Submission (Sendmail)
TCP,588,cal,CAL
TCP,589,eyelink,EyeLink
TCP,590,tns-cml,TNS CML
TCP,591,http-alt,FileMaker Inc. - HTTP Alternate
TCP,592,eudora-set,Eudora Set
TCP,593,http-rpc-epmap,HTTP RPC Ep Map
TCP,594,tpip,TPIP
TCP,595,cab-protocol,CAB Protocol
TCP,596,smsd,SMSD
TCP,597,ptcnameservice,PTC Name Service
TCP,598,sco-websrvrmg3,SCO Web Server Manager 3
TCP,599,acp,Aeolon Core Protocol
TCP,600,ipcserver,Sun IPC server
TCP,606,syslog-conn,Cray Unified Resource Manager
TCP,607,xmlrpc-beep,nqs
TCP,608,idxp,Sender-Initiated/Unsolicited File Transfer
TCP,609,tunnel,npmp-trap
TCP,610,soap-beep,Apple Admin Service / npmp-local
TCP,611,urm,npmp-gui
TCP,612,nqs,HMMP Indication
TCP,613,sift-uft,HMMP Operation
TCP,614,npmp-trap,SSLshell
TCP,615,npmp-local,Internet Configuration Manager
TCP,616,npmp-gui,SCO System Administration Server
TCP,617,hmmp-ind,SCO Desktop Administration Server
TCP,618,hmmp-op,DEI-ICDA
TCP,619,sshell,Digital EVM
TCP,620,sco-inetmgr,SCO WebServer Manager
TCP,621,sco-sysmgr,ESCP
TCP,622,sco-dtmgr,Collaborator
TCP,623,dei-icda,Aux Bus Shunt
TCP,624,compaq-evm,Crypto Admin
TCP,625,sco-websrvrmgr,DEC DLM
TCP,626,escp-ip,ASIA
TCP,627,collaborator,PassGo Tivoli
TCP,628,asf-rmcp,QMQP
TCP,629,cryptoadmin,3Com AMP3
TCP,630,dec_dlm,RDA
TCP,631,asia,IPP (Internet Printing Protocol)
TCP,632,passgo-tivoli,bmpp
TCP,633,qmqp,Service Status update (Sterling Software)
TCP,634,3com-amp3,ginad
TCP,635,rda,RLZ DBase
TCP,636,ipps,LDAP protocol over TLS/SSL
TCP,637,bmpp,lanserver
TCP,638,servstat,mcns-sec
TCP,639,ginad,MSDP
TCP,640,rlzdbase,entrust-sps
TCP,641,ldaps,repcmd
TCP,642,lanserver,ESRO-EMSDP V1.3
TCP,643,mcns-sec,SANity
TCP,644,msdp,dwr
TCP,645,entrust-sps,PSSC
TCP,646,repcmd,LDP
TCP,647,esro-emsdp,DHCP Failover
TCP,648,sanity,Registry Registrar Protocol (RRP)
TCP,649,dwr,Aminet
TCP,650,pssc,OBEX
TCP,651,ldp,IEEE MMS
TCP,652,dhcp-failover,UDLR_DTCP
TCP,653,rrp,RepCmd
TCP,654,cadview-3d,AODV
TCP,655,obex,TINC
TCP,656,ieee-mms,SPMP
TCP,657,hello-port,RMC
TCP,658,repscmd,TenFold
TCP,659,aodv,URL Rendezvous
TCP,660,tinc,MacOS Server Admin
TCP,661,spmp,HAP
TCP,662,rmc,PFTP
TCP,663,tenfold,PureNoise
TCP,664,,Secure Aux Bus
TCP,665,mac-srvr-admin,Sun DR
TCP,666,hap,doom Id Software
TCP,667,pftp,campaign contribution disclosures - SDR Technologies
TCP,668,purenoise,MeComm
TCP,669,asf-secure-rmcp,MeRegister
TCP,670,sun-dr,VACDSM-SWS
TCP,671,doom,VACDSM-APP
TCP,672,disclose,VPPS-QUA
TCP,673,mecomm,CIMPLEX
TCP,674,meregister,ACAP
TCP,675,vacdsm-sws,DCTP
TCP,676,vacdsm-app,VPPS Via
TCP,677,vpps-qua,Virtual Presence Protocol
TCP,678,cimplex,GNU Gereration Foundation NCP
TCP,679,acap,MRM
TCP,680,dctp,entrust-aaas
TCP,681,vpps-via,entrust-aams
TCP,682,vpp,XFR
TCP,683,ggf-ncp,CORBA IIOP
TCP,684,mrm,CORBA IIOP SSL
TCP,685,entrust-aaas,MDC Port Mapper
TCP,686,entrust-aams,Hardware Control Protocol Wismar
TCP,687,xfr,asipregistry
TCP,688,corba-iiop,REALM-RUSD
TCP,689,corba-iiop-ssl,NMAP
TCP,690,mdc-portmapper,VATP
TCP,691,hcp-wismar,MS Exchange Routing
TCP,692,asipregistry,Hyperwave-ISP
TCP,693,realm-rusd,connendp
TCP,694,nmap,ha-cluster
TCP,695,vatp,IEEE-MMS-SSL
TCP,696,msexch-routing,RUSHD
TCP,697,hyperwave-isp,UUIDGEN
TCP,698,connendp,OLSR
TCP,704,ha-cluster,errlog copy/server daemon
TCP,705,ieee-mms-ssl,AgentX
TCP,706,rushd,SILC
